game_pk,inning,inning_topbot,at_bat_number,pitch_number,outs_when_up,runs_scored,stand,simplified_outcome,batter,on_1b,on_2b,on_3b
641542,1,Top,1,1,0,0,L,,650333,,,
641542,1,Top,1,2,0,0,L,single,650333,,,
641542,1,Top,2,1,0,0,L,field_out,595909,650333.0,,
641542,1,Top,3,1,1,0,R,field_out,680777,650333.0,,
641542,1,Top,4,1,2,0,L,field_out,666135,650333.0,,
641542,1,Bot,5,1,0,0,R,,660670,,,
641542,1,Bot,5,2,0,0,R,,660670,,,
641542,1,Bot,5,3,0,0,R,,660670,,,
641542,1,Bot,5,4,0,0,R,,660670,,,
641542,1,Bot,6,1,0,0,R,ground_out,645277,660670.0,,
641542,1,Bot,7,1,1,0,L,field_out,518692,645277.0,,
641542,1,Bot,8,1,2,0,R,double,542303,645277.0,,
641542,1,Bot,9,1,2,0,R,field_out,621020,,542303.0,645277.0
641542,2,Top,10,1,0,0,R,field_out,553902,,,
641542,2,Top,11,1,1,0,R,field_out,664247,,,
641542,2,Top,12,1,2,0,L,field_out,663616,,,
641542,2,Bot,13,1,0,0,R,,622666,,,
641542,2,Bot,13,2,0,0,R,,622666,,,
641542,2,Bot,13,3,0,0,R,,622666,,,
641542,2,Bot,14,1,1,0,R,field_out,665506,,,
641542,2,Bot,15,1,2,0,R,,501659,,,
641542,2,Bot,15,2,2,0,R,,501659,,,
641542,2,Bot,15,3,2,0,R,,501659,,,
641542,2,Bot,15,4,2,0,R,,501659,,,
641542,2,Bot,16,1,2,0,R,field_out,656577,501659.0,,
641542,3,Top,17,1,0,0,L,field_out,595375,,,
641542,3,Top,18,1,1,0,L,single,624503,,,
641542,3,Top,19,1,1,0,L,single,650333,624503.0,,
641542,3,Top,20,1,1,0,L,single,595909,650333.0,624503.0,
641542,3,Top,21,1,2,0,R,ground_out,680777,595909.0,650333.0,
641542,3,Bot,22,1,0,0,R,,660670,,,
641542,3,Bot,22,2,0,1,R,home_run,660670,,,
641542,3,Bot,23,1,0,0,R,,645277,,,
641542,3,Bot,23,2,0,0,R,,645277,,,
641542,3,Bot,23,3,0,0,R,,645277,,,
641542,3,Bot,23,4,0,0,R,,645277,,,
641542,3,Bot,24,1,0,0,L,,518692,645277.0,,
641542,3,Bot,24,2,0,0,L,,518692,645277.0,,
641542,3,Bot,24,3,0,0,L,,518692,645277.0,,
641542,3,Bot,25,1,1,0,R,,542303,645277.0,,
641542,3,Bot,25,2,1,0,R,,542303,,645277.0,
641542,3,Bot,25,3,1,0,R,,542303,,645277.0,
641542,3,Bot,25,4,1,0,R,,542303,,645277.0,
641542,3,Bot,26,1,1,0,R,,621020,542303.0,645277.0,
641542,3,Bot,26,2,1,0,R,,621020,542303.0,645277.0,
641542,3,Bot,26,3,1,0,R,,621020,542303.0,645277.0,
641542,3,Bot,26,4,1,0,R,,621020,542303.0,645277.0,
641542,3,Bot,27,1,2,1,R,single,622666,542303.0,645277.0,
641542,3,Bot,28,1,2,0,R,,665506,622666.0,542303.0,
641542,3,Bot,28,2,2,0,R,,665506,622666.0,542303.0,
641542,3,Bot,28,3,2,0,R,,665506,622666.0,542303.0,
641542,3,Bot,28,4,2,0,R,,665506,622666.0,542303.0,
641542,3,Bot,29,1,2,0,L,field_out,501659,665506.0,622666.0,542303.0
641542,4,Top,30,1,0,0,L,field_out,666135,,,
641542,4,Top,31,1,1,0,R,single,553902,,,
641542,4,Top,32,1,1,0,R,field_out,664247,553902.0,,
641542,4,Top,33,1,2,0,L,field_out,663616,553902.0,,
641542,4,Bot,34,1,0,0,R,field_out,656577,,,
641542,4,Bot,35,1,1,0,R,,660670,,,
641542,4,Bot,35,2,1,0,R,,660670,,,
641542,4,Bot,35,3,1,0,R,,660670,,,
641542,4,Bot,35,4,1,0,R,,660670,,,
641542,4,Bot,36,1,1,0,L,single,645277,660670.0,,
641542,4,Bot,37,1,1,1,L,single,518692,645277.0,660670.0,
641542,4,Bot,38,1,1,1,R,fly_out,542303,518692.0,,645277.0
641542,4,Bot,39,1,2,0,R,,621020,518692.0,,
641542,4,Bot,39,2,2,1,R,single,621020,,518692.0,
641542,4,Bot,40,1,2,0,L,,622666,621020.0,,
641542,4,Bot,40,2,2,0,L,,622666,621020.0,,
641542,4,Bot,40,3,2,0,L,,622666,621020.0,,
641542,5,Top,41,1,0,0,L,field_out,595375,,,
641542,5,Top,42,1,1,0,L,field_out,624503,,,
641542,5,Top,43,1,2,0,L,field_out,650333,,,
641542,5,Bot,44,1,0,0,R,,665506,,,
641542,5,Bot,44,2,0,0,R,,665506,,,
641542,5,Bot,44,3,0,0,R,,665506,,,
641542,5,Bot,45,1,1,0,L,field_out,501659,,,
641542,5,Bot,46,1,2,0,R,single,656577,,,
641542,5,Bot,47,1,2,0,R,field_out,628338,656577.0,,
641542,6,Top,48,1,0,0,L,,595909,,,
641542,6,Top,48,2,0,0,L,,595909,,,
641542,6,Top,48,3,0,0,L,,595909,,,
641542,6,Top,49,1,1,0,L,,666163,,,
641542,6,Top,49,2,1,0,L,,666163,,,
641542,6,Top,49,3,1,0,L,,666163,,,
641542,6,Top,50,1,2,0,L,field_out,666135,,,
641542,6,Bot,51,1,0,0,L,field_out,572365,,,
641542,6,Bot,52,1,1,0,R,single,467055,,,
641542,6,Bot,53,1,1,0,R,,640447,467055.0,,
641542,6,Bot,53,2,1,0,R,,640447,467055.0,,
641542,6,Bot,53,3,1,0,R,,640447,467055.0,,
641542,6,Bot,54,1,2,0,R,ground_out,501303,467055.0,,
641542,7,Top,55,1,0,0,R,field_out,553902,,,
641542,7,Top,56,1,1,0,R,,664247,,,
641542,7,Top,56,2,1,1,R,home_run,664247,,,
641542,7,Top,57,1,1,0,L,double,663616,,,
641542,7,Top,58,1,1,0,L,,663905,,605530.0,
641542,7,Top,58,2,1,0,L,,663905,,605530.0,
641542,7,Top,58,3,1,0,L,,663905,,605530.0,
641542,7,Top,59,1,2,0,L,field_out,461865,,605530.0,
641542,7,Bot,60,1,0,0,L,double,571875,,,
641542,7,Bot,61,1,0,0,R,,665506,,571875.0,
641542,7,Bot,61,2,0,0,R,,665506,,571875.0,
641542,7,Bot,61,3,0,0,R,,665506,,571875.0,
641542,7,Bot,61,4,0,0,R,,665506,,571875.0,
641542,7,Bot,62,1,0,0,L,,501659,665506.0,571875.0,
641542,7,Bot,62,2,0,0,L,,501659,665506.0,571875.0,
641542,7,Bot,62,3,0,0,L,,501659,665506.0,571875.0,
641542,7,Bot,62,4,0,0,L,,501659,665506.0,571875.0,
641542,7,Bot,63,1,0,0,R,,664966,501659.0,665506.0,571875.0
641542,7,Bot,63,2,0,0,R,,664966,501659.0,665506.0,571875.0
641542,7,Bot,63,3,0,0,R,,664966,501659.0,665506.0,571875.0
641542,7,Bot,64,1,1,0,R,,628338,501659.0,665506.0,571875.0
641542,7,Bot,64,2,1,0,R,,628338,501659.0,665506.0,571875.0
641542,7,Bot,64,3,1,0,R,,628338,501659.0,665506.0,571875.0
641542,7,Bot,65,1,2,0,L,,572365,501659.0,665506.0,571875.0
641542,7,Bot,65,2,2,0,L,,572365,501659.0,665506.0,571875.0
641542,7,Bot,65,3,2,0,L,,572365,501659.0,665506.0,571875.0
