game_pk,inning,inning_topbot,at_bat_number,pitch_number,outs_when_up,batter,stand,events,simplified_outcome,on_1b,on_2b,on_3b
490099,1,Top,1,1,0,656941,L,,,,,
490099,1,Top,1,2,0,656941,L,,,,,
490099,1,Top,1,3,0,656941,L,,,,,
490099,1,Top,1,4,0,656941,L,single,single,,,
490099,1,Top,2,1,0,592178,R,,,656941.0,,
490099,1,Top,2,2,0,592178,R,,,656941.0,,
490099,1,Top,2,3,0,592178,R,,,656941.0,,
490099,1,Top,2,4,0,592178,R,,,656941.0,,
490099,1,Top,2,5,0,592178,R,strikeout,,656941.0,,
490099,1,Top,3,1,1,519203,L,,,656941.0,,
490099,1,Top,3,2,1,519203,L,,,656941.0,,
490099,1,Top,3,3,1,519203,L,single,single,656941.0,,
490099,1,Top,4,1,1,450314,L,,,519203.0,656941.0,
490099,1,Top,4,2,1,450314,L,,,519203.0,656941.0,
490099,1,Top,4,3,1,450314,L,,,519203.0,656941.0,
490099,1,Top,4,4,1,450314,L,grounded_into_double_play,double_play,519203.0,656941.0,
490099,1,Bot,5,1,0,451594,R,,,,,
490099,1,Bot,5,2,0,451594,R,,,,,
490099,1,Bot,5,3,0,451594,R,field_out,field_out,,,
490099,1,Bot,6,1,1,649557,R,,,,,
490099,1,Bot,6,2,1,649557,R,double,double,,,
490099,1,Bot,7,1,1,572761,L,,,,649557.0,
490099,1,Bot,7,2,1,572761,L,,,,649557.0,
490099,1,Bot,7,3,1,572761,L,,,,649557.0,
490099,1,Bot,7,4,1,572761,L,,,,649557.0,
490099,1,Bot,7,5,1,572761,L,,,,649557.0,
490099,1,Bot,7,6,1,572761,L,field_out,field_out,,649557.0,
490099,1,Bot,8,1,2,425509,R,,,,,649557.0
490099,1,Bot,8,2,2,425509,R,,,,,649557.0
490099,1,Bot,8,3,2,425509,R,,,,,649557.0
490099,1,Bot,8,4,2,425509,R,strikeout,,,,649557.0
490099,2,Top,9,1,0,608365,R,,,,,
490099,2,Top,9,2,0,608365,R,,,,,
490099,2,Top,9,3,0,608365,R,,,,,
490099,2,Top,9,4,0,608365,R,,,,,
490099,2,Top,9,5,0,608365,R,,,,,
490099,2,Top,9,6,0,608365,R,strikeout,,,,
490099,2,Top,10,1,1,518792,L,,,,,
490099,2,Top,10,2,1,518792,L,,,,,
490099,2,Top,10,3,1,518792,L,strikeout,,,,
490099,2,Top,11,1,2,575929,R,,,,,
490099,2,Top,11,2,2,575929,R,,,,,
490099,2,Top,11,3,2,575929,R,,,,,
490099,2,Top,11,4,2,575929,R,strikeout,,,,
490099,2,Bot,12,1,0,425877,R,,,,,
490099,2,Bot,12,2,0,425877,R,,,,,
490099,2,Bot,12,3,0,425877,R,,,,,
490099,2,Bot,12,4,0,425877,R,,,,,
490099,2,Bot,12,5,0,425877,R,,,,,
490099,2,Bot,12,6,0,425877,R,single,single,,,
490099,2,Bot,13,1,0,572039,R,,,425877.0,,
490099,2,Bot,13,2,0,572039,R,single,single,425877.0,,
490099,2,Bot,14,1,0,576397,R,,,572039.0,425877.0,
490099,2,Bot,14,2,0,576397,R,,,572039.0,425877.0,
490099,2,Bot,14,3,0,576397,R,,,572039.0,425877.0,
490099,2,Bot,14,4,0,576397,R,,,572039.0,425877.0,
490099,2,Bot,14,5,0,576397,R,,,572039.0,425877.0,
490099,2,Bot,14,6,0,576397,R,,,572039.0,425877.0,
490099,2,Bot,14,7,0,576397,R,strikeout,,572039.0,425877.0,
490099,2,Bot,15,1,1,545341,R,,,572039.0,425877.0,
490099,2,Bot,15,2,1,545341,R,,,572039.0,425877.0,
490099,2,Bot,15,3,1,545341,R,,,572039.0,425877.0,
490099,2,Bot,15,4,1,545341,R,,,572039.0,425877.0,
490099,2,Bot,15,5,1,545341,R,,,572039.0,425877.0,
490099,2,Bot,15,6,1,545341,R,,,572039.0,425877.0,
490099,2,Bot,15,7,1,545341,R,strikeout,,572039.0,425877.0,
490099,2,Bot,16,1,2,593372,R,,,572039.0,425877.0,
490099,2,Bot,16,2,2,593372,R,,,572039.0,425877.0,
490099,2,Bot,16,3,2,593372,R,,,572039.0,425877.0,
490099,2,Bot,16,4,2,593372,R,,,572039.0,425877.0,
490099,2,Bot,16,5,2,593372,R,,,572039.0,425877.0,
490099,2,Bot,16,6,2,593372,R,strikeout,,572039.0,425877.0,
490099,3,Top,17,1,0,452657,L,,,,,
490099,3,Top,17,2,0,452657,L,,,,,
490099,3,Top,17,3,0,452657,L,strikeout,,,,
490099,3,Top,18,1,1,595879,R,,,,,
490099,3,Top,18,2,1,595879,R,,,,,
490099,3,Top,18,3,1,595879,R,,,,,
490099,3,Top,18,4,1,595879,R,field_out,field_out,,,
490099,3,Top,19,1,2,656941,L,,,,,
490099,3,Top,19,2,2,656941,L,,,,,
490099,3,Top,19,3,2,656941,L,,,,,
490099,3,Top,19,4,2,656941,L,,,,,
490099,3,Top,19,5,2,656941,L,double,double,,,
490099,3,Top,20,1,2,592178,R,,,,656941.0,
490099,3,Top,20,2,2,592178,R,,,,656941.0,
490099,3,Top,20,3,2,592178,R,,,,656941.0,
490099,3,Top,20,4,2,592178,R,strikeout,,,656941.0,
490099,3,Bot,21,1,0,451594,R,,,,,
490099,3,Bot,21,2,0,451594,R,,,,,
490099,3,Bot,21,3,0,451594,R,,,,,
490099,3,Bot,21,4,0,451594,R,,,,,
490099,3,Bot,21,5,0,451594,R,,,,,
490099,3,Bot,21,6,0,451594,R,,,,,
490099,3,Bot,21,7,0,451594,R,single,single,,,
490099,3,Bot,22,1,0,649557,R,,,451594.0,,
490099,3,Bot,22,2,0,649557,R,,,451594.0,,
490099,3,Bot,22,3,0,649557,R,single,single,451594.0,,
490099,3,Bot,23,1,0,572761,L,,,649557.0,,451594.0
490099,3,Bot,23,2,0,572761,L,,,649557.0,,451594.0
490099,3,Bot,23,3,0,572761,L,,,649557.0,,451594.0
490099,3,Bot,23,4,0,572761,L,sac_fly,fly_out,649557.0,,451594.0
490099,3,Bot,24,1,1,425509,R,,,649557.0,,
490099,3,Bot,24,2,1,425509,R,,,,649557.0,
490099,3,Bot,24,3,1,425509,R,,,,649557.0,
490099,3,Bot,24,4,1,425509,R,,,,649557.0,
490099,3,Bot,24,5,1,425509,R,,,,649557.0,
490099,3,Bot,24,6,1,425509,R,strikeout,,,649557.0,
490099,3,Bot,25,1,2,425877,R,,,,649557.0,
490099,3,Bot,25,2,2,425877,R,,,,,649557.0
490099,3,Bot,25,3,2,425877,R,,,,,649557.0
490099,3,Bot,25,4,2,425877,R,,,,,649557.0
490099,3,Bot,25,5,2,425877,R,,,,,649557.0
490099,3,Bot,25,6,2,425877,R,walk,,,,649557.0
490099,3,Bot,26,1,2,572039,R,,,425877.0,,649557.0
490099,3,Bot,26,2,2,572039,R,,,425877.0,,649557.0
490099,3,Bot,26,3,2,572039,R,,,425877.0,,649557.0
490099,3,Bot,26,4,2,572039,R,strikeout,,425877.0,,649557.0
490099,4,Top,27,1,0,519203,L,,,,,
490099,4,Top,27,2,0,519203,L,,,,,
490099,4,Top,27,3,0,519203,L,field_out,field_out,,,
490099,4,Top,28,1,1,450314,L,,,,,
490099,4,Top,28,2,1,450314,L,,,,,
490099,4,Top,28,3,1,450314,L,,,,,
490099,4,Top,28,4,1,450314,L,field_out,field_out,,,
490099,4,Top,29,1,2,608365,R,,,,,
490099,4,Top,29,2,2,608365,R,,,,,
490099,4,Top,29,3,2,608365,R,field_out,field_out,,,
490099,4,Bot,30,1,0,576397,R,,,,,
490099,4,Bot,30,2,0,576397,R,,,,,
490099,4,Bot,30,3,0,576397,R,field_out,field_out,,,
