,game_pk,venue_name,venue_id
0,490099,Busch Stadium,2889
1,490106,Tropicana Field,12
2,490110,Chase Field,15
3,490098,Citi Field,3289
4,490100,Globe Life Park in Arlington,13
5,490101,Miller Park,32
6,490103,Target Field,3312
7,490104,Oakland Coliseum,10
8,490105,Nationals Park,3309
9,490107,Great American Ball Park,2602
10,490108,Fenway Park,3
11,490109,Dodger Stadium,22
12,490111,Minute Maid Park,2392
13,490112,Oriole Park at Camden Yards,2
14,490102,Guaranteed Rate Field,4
15,490113,Globe Life Park in Arlington,13
16,490114,Miller Park,32
17,490115,Oakland Coliseum,10
18,490116,Tropicana Field,12
19,490117,Dodger Stadium,22
20,490118,Chase Field,15
21,490119,Minute Maid Park,2392
22,490136,Busch Stadium,2889
23,490120,Citi Field,3289
24,490122,Globe Life Park in Arlington,13
25,490123,Miller Park,32
26,490125,Target Field,3312
27,490126,Oakland Coliseum,10
28,490127,Nationals Park,3309
29,490128,Tropicana Field,12
30,490129,Great American Ball Park,2602
31,490130,Fenway Park,3
32,490131,Dodger Stadium,22
33,490132,Chase Field,15
34,490133,Minute Maid Park,2392
35,490134,Oriole Park at Camden Yards,2
36,490121,Busch Stadium,2889
37,490135,Citi Field,3289
38,490137,Miller Park,32
39,490138,Guaranteed Rate Field,4
40,490139,Target Field,3312
41,490140,Oakland Coliseum,10
42,490141,Nationals Park,3309
43,490142,Great American Ball Park,2602
44,490144,Dodger Stadium,22
45,490145,Chase Field,15
46,490146,Minute Maid Park,2392
47,490147,Tropicana Field,12
48,490148,PNC Park,31
49,490149,Comerica Park,2394
50,490150,Miller Park,32
51,490151,Busch Stadium,2889
52,490152,Chase Field,15
53,490153,Minute Maid Park,2392
54,490154,Coors Field,19
55,490155,Citi Field,3289
56,490156,Guaranteed Rate Field,4
57,490157,Oriole Park at Camden Yards,2
58,490158,Globe Life Park in Arlington,13
59,490159,Petco Park,2680
60,490160,Angel Stadium of Anaheim,1
61,490161,Tropicana Field,12
62,490162,Citizens Bank Park,2681
63,490163,PNC Park,31
64,490164,Comerica Park,2394
65,490165,Miller Park,32
66,490166,Busch Stadium,2889
67,490167,Chase Field,15
68,490168,Minute Maid Park,2392
69,490169,Coors Field,19
70,490170,Citi Field,3289
71,490171,Guaranteed Rate Field,4
72,490172,Oriole Park at Camden Yards,2
73,490173,Globe Life Park in Arlington,13
74,490174,Petco Park,2680
75,490175,Angel Stadium of Anaheim,1
76,490176,Tropicana Field,12
77,490177,Citizens Bank Park,2681
78,490178,PNC Park,31
79,490179,Comerica Park,2394
80,490180,Miller Park,32
81,490181,Busch Stadium,2889
82,490182,Chase Field,15
83,490183,Minute Maid Park,2392
84,490184,Coors Field,19
85,490185,Citi Field,3289
86,490186,Guaranteed Rate Field,4
87,490187,Oriole Park at Camden Yards,2
88,490188,Globe Life Park in Arlington,13
89,490189,Petco Park,2680
90,490190,Angel Stadium of Anaheim,1
91,490191,Tropicana Field,12
92,490192,Citizens Bank Park,2681
93,490193,AT&T Park,2395
94,490194,Comerica Park,2394
95,490195,PNC Park,31
96,490196,Safeco Field,680
97,490197,Wrigley Field,17
98,490198,Citizens Bank Park,2681
99,490199,Kauffman Stadium,7
100,490200,Coors Field,19
101,490201,Nationals Park,3309
102,490202,Yankee Stadium,3313
103,490203,AT&T Park,2395
104,490204,Marlins Park,4169
105,490205,Fenway Park,3
106,490206,Progressive Field,5
107,490207,PNC Park,31
108,490208,Safeco Field,680
109,490209,Rogers Centre,14
110,490210,Comerica Park,2394
111,490211,Citizens Bank Park,2681
112,490212,Coors Field,19
113,490213,Nationals Park,3309
114,490214,Angel Stadium of Anaheim,1
115,490215,AT&T Park,2395
116,490216,Marlins Park,4169
117,490217,Fenway Park,3
118,490218,Progressive Field,5
119,490219,PNC Park,31
120,490220,Safeco Field,680
121,490221,Wrigley Field,17
122,490222,Rogers Centre,14
123,490223,Comerica Park,2394
124,490224,Citizens Bank Park,2681
125,490225,Kauffman Stadium,7
126,490226,Coors Field,19
127,490227,Nationals Park,3309
128,490228,Yankee Stadium,3313
129,490229,Angel Stadium of Anaheim,1
130,490143,Fenway Park,3
131,490230,Rogers Centre,14
132,490231,Progressive Field,5
133,490232,AT&T Park,2395
134,490233,Wrigley Field,17
135,490234,Great American Ball Park,2602
136,490235,Comerica Park,2394
137,490236,Marlins Park,4169
138,490237,Kauffman Stadium,7
139,490238,Yankee Stadium,3313
140,490239,Angel Stadium of Anaheim,1
141,490240,Dodger Stadium,22
142,490241,Rogers Centre,14
143,490242,Target Field,3312
144,490243,AT&T Park,2395
