Sun May 26 10:46:40 2024    profile_output

         35856598 function calls (35200488 primitive calls) in 51.988 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      3/1    0.000    0.000   52.006   52.006 {built-in method builtins.exec}
      2/1    0.000    0.000   51.997   51.997 <string>:1(<module>)
      2/1    0.000    0.000   51.996   51.996 /tmp/ipykernel_10853/82819947.py:2(run_game_sim)
  178/177    0.003    0.000   51.988    0.294 /tmp/ipykernel_10853/847428984.py:10(simulate_pitch)
    47/46    0.000    0.000   51.262    1.114 /tmp/ipykernel_10853/847428984.py:77(simulate_ab)
     4494    0.068    0.000   47.931    0.011 /home/reece/miniconda3/envs/mlb/lib/python3.12/asyncio/base_events.py:1910(_run_once)
  178/177    0.005    0.000   43.916    0.248 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/src/simulation/Pitcher.py:127(generate_pitch)
      177    0.008    0.000   41.375    0.234 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/base.py:501(_sample_rows)
     4928    0.011    0.000   37.534    0.008 /home/reece/miniconda3/envs/mlb/lib/python3.12/asyncio/events.py:86(_run)
     4928    0.018    0.000   33.844    0.007 {method 'run' of '_contextvars.Context' objects}
     3828    0.005    0.000   30.215    0.008 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tornado/ioloop.py:742(_run_callback)
     2899    0.006    0.000   24.741    0.009 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/eventloop/zmqstream.py:695(<lambda>)
      177    0.001    0.000   24.347    0.138 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/single_table/copulas.py:151(_sample)
      177    0.005    0.000   24.194    0.137 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/__init__.py:58(wrapper)
      177    0.021    0.000   24.036    0.136 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/multivariate/gaussian.py:236(sample)
     3009    0.094    0.000   22.334    0.007 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/univariate/gaussian_kde.py:111(percent_point)
     3009    2.016    0.001   20.326    0.007 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/optimize/__init__.py:40(chandrupatla)
    41238    2.934    0.000   17.468    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/univariate/gaussian_kde.py:88(cumulative_distribution)
     3987    0.017    0.000   17.302    0.004 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/zmq/eventloop/zmqstream.py:584(_handle_events)
    40530    0.139    0.000   17.293    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/univariate/gaussian_kde.py:143(_f)
     7434    0.048    0.000   16.902    0.002 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:50(wrapper)
      177    0.060    0.000   16.534    0.093 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/sdv/data_processing/data_processor.py:824(reverse_transform)
      177    0.008    0.000   15.838    0.089 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/src/simulation/Pitcher.py:91(generate_pitch_characteristics)
    44247    0.331    0.000   15.592    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/copulas/univariate/gaussian_kde.py:42(_get_bounds)
      177    0.001    0.000   13.206    0.075 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/hyper_transformer.py:924(reverse_transform_subset)
      177    0.035    0.000   13.205    0.075 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/hyper_transformer.py:891(_reverse_transform)
     3717    0.059    0.000   11.103    0.003 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/rdt/transformers/base.py:463(reverse_transform)
      177    0.002    0.000    9.182    0.052 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:1138(__exit__)
    88494    0.220    0.000    9.086    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/fromnumeric.py:3513(std)
    88494    0.272    0.000    8.861    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_methods.py:204(_std)
    88494    1.734    0.000    8.557    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/_methods.py:135(_var)
      354    0.001    0.000    8.312    0.023 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:1265(close)
      177    0.006    0.000    7.849    0.044 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/src/simulation/Batter.py:68(generate_pitch_outcome)
      708    0.002    0.000    7.849    0.011 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:1464(display)
      708    0.002    0.000    7.623    0.011 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/std.py:457(print_status)
   400635    6.667    0.000    6.667    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1770    0.004    0.000    6.635    0.004 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/tqdm/utils.py:194(inner)
   158260    0.387    0.000    6.445    0.000 /home/reece/miniconda3/envs/mlb/lib/python3.12/site-packages/numpy/core/fromnumeric.py:71(_wrapreduction)
